"filename", "language", "JSON", "TypeScript", "CSS", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\existing-sheets\existing-sheets.component.html", "HTML", 0, 0, 0, 0, 26, 0, 0, 2, 28
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\existing-sheets\existing-sheets.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\existing-sheets\existing-sheets.component.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 6, 29
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\home\home.component.css", "CSS", 0, 0, 32, 0, 0, 0, 0, 4, 36
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 17, 0, 1, 2, 20
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\home\home.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\home\home.component.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 7, 28
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\login-form\login-form.component.css", "CSS", 0, 0, 239, 0, 0, 0, 9, 50, 298
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\login-form\login-form.component.html", "HTML", 0, 0, 0, 0, 20, 0, 3, 2, 25
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\login-form\login-form.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\login-form\login-form.component.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 7, 44
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\navbar\navbar.component.css", "CSS", 0, 0, 49, 0, 0, 0, 5, 10, 64
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\navbar\navbar.component.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 0, 11
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\navbar\navbar.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\navbar\navbar.component.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 10, 44
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\profile\profile.component.css", "CSS", 0, 0, 62, 0, 0, 0, 0, 15, 77
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\profile\profile.component.html", "HTML", 0, 0, 0, 0, 51, 0, 0, 3, 54
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\profile\profile.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\profile\profile.component.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 8, 65
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\register\register.component.css", "CSS", 0, 0, 239, 0, 0, 0, 9, 50, 298
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\register\register.component.html", "HTML", 0, 0, 0, 0, 20, 0, 3, 3, 26
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\register\register.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\register\register.component.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 8, 41
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\sheet\sheet.component.css", "CSS", 0, 0, 238, 0, 0, 0, 1, 46, 285
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\sheet\sheet.component.html", "HTML", 0, 0, 0, 0, 316, 0, 0, 5, 321
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\sheet\sheet.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\app\sheet\sheet.component.ts", "TypeScript", 0, 123, 0, 0, 0, 0, 0, 18, 141
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\environments\environment.prod.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\environments\environment.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 11, 3, 17
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\main.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 4, 13
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\polyfills.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 57, 8, 66
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\src\test.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 4, 4, 26
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 1, 1, 16
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\tsconfig.json", "JSON", 29, 0, 0, 0, 0, 0, 1, 1, 31
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\tsconfig.spec.json", "JSON", 17, 0, 0, 0, 0, 0, 1, 1, 19
"d:\Egyetem\6.félév\Önlab\Angular\DndClient\tslint.json", "JSON", 152, 0, 0, 0, 0, 0, 0, 1, 153
"Total", "-", 15459, 2491, 887, 66, 475, 14, 150, 533, 20075
